bank_transaction_id,bank_transaction_description,bank_transaction_amount,bank_transaction_type
21786325,Fin: ON 29 Jul  TFL.GOV,-1.06,DEB
21786326,TESCO GARAGE PETROL,-23.7,DEB
21786327,Sundry debit:  taxi Apple Pay,-46.04,MPO
21786328,TESCO GARAGE PETROL,-55.09,DEB
21786329,SWTRAINS,-57.35,DEB
21786330,Cash at Transact travelodge,-28.4,CSH
21786331,ON 6 Aug CONTACTLESS gatwick express,-24.9,DEB
21786332,31Aug19 PREMIER INN,-34.16,MPO
21786333,LOTHIAN BUSES,-67.67,DEB
21786334,19Jul19 lner,-43.92,CSH
21786335,ON 2019-7-15 METROLINK,-29.61,DEB
21786336,Fin: LNER,-30.11,DEB
21786337,CARD PAYMENT whetherspoons ON 2019-8-14,-38.63,DEB
21786338,SUNDRY DEBIT amznmktplace,-41.37,DEB
21786339,SUNDRY DEBIT  TRAVELODGE,-54.83,DEB
21786340,Fin: CARD PAYMENT  cross country,-21.68,DEB
21786341,ON 2019-7-19  macdonald hotels,-59.87,MPO
21786342,Fin: GWR  VIA MOBILE ONLINE,-28.15,MPO
21786343,CONTACTLESS  ryanair,-36.75,DEB
21786344,SUNDRY DEBIT   GWR,-41.29,DEB
21786345,EUROPCAR,-56.95,DEB
21786346,taxi ON 28 Aug,-45.54,CSH
21786347,Sundry debit: NATIONAL EXPRESS ON 2019-8-28 Apple Pay,-32.29,MPO
21786348,27Aug19 KLM,-13.13,DEB
21786349,VIRGIN TRAINS ON 2019-7-3,-65.6,DEB
21786350,cross country CARD PAYMENT,-26.26,DEB
21786351,Fin: TFW RAIL SERVICES,-38.68,CSH
21786352,SUNDRY DEBIT ON 15 Aug  uber,-5.05,CSH
21786353,travelodge 23Jul19,-55.03,DEB
21786354,Fin: ringgo mobile parking  ON 2019-8-27,-45.02,DEB
21786355,Sundry debit: TRAVELODGE  VIA MOBILE ONLINE,-41.58,MPO
21786356,SUNDRY DEBIT CONTACTLESS LNER,-56.79,DEB
21786357,tfl.gov,-34.69,MPO
21786358,Sundry debit:  CARD PAYMENT scotrail,-54.63,DEB
21786359,Sundry debit: ON 17 Jul  EUROPCAR,-20.18,MPO
21786360,CONTACTLESS cross country ON 2019-8-19,-49.04,DEB
21786361,UBER 9Jul19 CONTACTLESS,-16.46,DEB
21786362,Sundry debit: tfl.gov  ON 9 Aug,-65.89,CSH
21786363,SUNDRY DEBIT  EUROPCAR ON 23 Jul,-25.05,CSH
21786364,Sundry debit: TFL TRAVEL ON 19 Aug VIA MOBILE ONLINE,-4.68,MPO
21786365,fuel service station,-30.49,DEB
21786366,southeastern  7Jul19,-35.77,MPO
21786367,SUNDRY DEBIT  tfl travel CARD PAYMENT,-29.2,DEB
21786368,halfords,-50.06,MPO
21786369,Apple Pay LOTHIAN BUSES ON 2019-8-23,-76.4,MPO
21786370,SWTRAINS,-66.19,DEB
21786371,Fin:  GWR,-4.05,CSH
21786372,ON 2019-8-3 travelodge CARD PAYMENT,-51.05,DEB
21786373,CROSS COUNTRY ON 2019-7-28 Apple Pay,-101.13,MPO
21786374,ringgo,-62.43,DEB
21786375,24Jul19  UBER,-20.83,DEB
21786376,Fin: PREMIER INN ON 2019-8-28,-77.84,DEB
21786377,AMZNMKTPLACE,-39.12,CSH
21786378,TFL CYCLE  ON 4 Aug,-10.42,DEB
21786379,CONTACTLESS ON 13 Aug southeastern,-35.58,DEB
21786380,CARD PAYMENT ON 19 Aug TFL TRAVEL,-29.57,DEB
21786381,Sundry debit: TFL.GOV Apple Pay 2Jul19,-53.79,MPO
21786382,CARD PAYMENT GWR,-12.57,DEB
21786383,uber 4Jul19 CONTACTLESS,-51.44,DEB
21786384,Fin: ON 2019-8-8  travelodge,-7.69,DEB
21786385,HALFORDS,-66.45,CSH
21786386,SUNDRY DEBIT VIA MOBILE  LNER,-34.82,MPO
21786387,RYANAIR  13Aug19,-35.08,CSH
21786388,Sundry debit: ZIPCAR,-49.84,DEB
21786389,Sundry debit: 4Aug19 RINGGO,-14.13,MPO
21786390,SUNDRY DEBIT HALFORDS,-54.57,CSH
21786391,Sundry debit: CARD PAYMENT LNER ON 6 Aug,-21.34,DEB
21786392,Cash at Transact  lne railway,-11.17,CSH
21786393,CARD PAYMENT VIRGIN TRAINS,-54.8,DEB
21786394,VIA MOBILE ONLINE FORD ON 25 Jul,-31.76,MPO
21786395,28Jul19 BRITISH AIRWAYS Apple Pay,-34.65,MPO
21786396,CARD PAYMENT  TFL TRAVEL,-6.81,DEB
21786397,ON 7 Jul tfl.gov CONTACTLESS,-16.98,DEB
21786398,SUNDRY DEBIT lner,-28.85,DEB
21786399,lner ON 2019-7-17,-19.44,CSH
21786400,UBER,-24.83,DEB
21786401,Fin: Cash at Transact best western,-4.34,CSH
21786402,ON 2019-8-28  eurostar,-30.99,DEB
21786403,ON 16 Aug SWTRAINS,-33.06,DEB
21786404,13Jul19 smart parking chelsea london VIA MOBILE,-29.48,MPO
21786405,lner,-8.36,DEB
21786406,2Aug19 OYSTER,-42.0,MPO
21786407,Sundry debit:   tfl.gov,-60.35,CSH
21786408,TRAINLINE ON 25 Jul CARD PAYMENT,-1.6,DEB
21786409,ON 2019-8-31 ZIPCAR,-23.2,CSH
21786410,3Jul19 UBER,-31.44,DEB
21786411,Fin: jurys inn ON 2019-8-30,-64.11,MPO
21786412,CONTACTLESS LNE RAILWAY,-6.46,DEB
21786413,TFL.GOV  29Jul19,-3.56,DEB
21786414,31Aug19 tfl road CONTACTLESS,-21.9,DEB
21786415,uber Cash at Transact,-47.29,CSH
21786416,travelodge  Apple Pay,-66.65,MPO
21786417,Sundry debit: Apple Pay  UBER,-38.17,MPO
21786418,BRITISH AIRWAYS CONTACTLESS,-15.23,DEB
21786419,Apple Pay LOTHIAN BUSES,-44.0,MPO
21786420,heathrow express,-26.05,DEB
21786421,BRITISH AIRWAYS  CONTACTLESS,-6.03,DEB
21786422,ON 2019-8-31 taxi,-23.03,CSH
21786423,VIA MOBILE uber ON 22 Jul,-34.55,MPO
21786424,CONTACTLESS  smart parking chelsea london,-58.03,DEB
21786425,CONTACTLESS national express,-22.57,DEB
21786426,29Aug19 NCP,-22.59,DEB
21786427,tfl.gov ON 5 Jul,-37.99,MPO
21786428,ctylink CONTACTLESS,-26.41,DEB
21786429,BRITISH AIRWAYS,-28.03,DEB
21786430,KLM CONTACTLESS ON 6 Jul,-37.8,DEB
21786431,Sundry debit: uber  CONTACTLESS,-11.4,DEB
21786432,SUNDRY DEBIT  AMZNMKTPLACE ON 20 Jul,-52.35,DEB
21786433,ON 2019-8-23 JURYS INN,-73.18,MPO
21786434,KLM,-26.87,CSH
21786435,Fin: 20Aug19  tfl.gov,-22.25,DEB
21786436,ON 4 Jul  travelodge,-33.45,MPO
21786437,uber,-34.91,DEB
21786438,ON 17 Jul tesco garage petrol CARD PAYMENT,-57.63,DEB
21786439,METROLINK ON 2019-7-6,-9.49,DEB
21786440,TFL TRAVEL 17Jul19,-59.78,CSH
21786441,SUNDRY DEBIT   TRAVELODGE,-52.06,CSH
21786442,Fin: CARD PAYMENT oyster,-24.76,DEB
21786443,VIA MOBILE ON 2019-7-3 TFL TRAVEL,-58.59,MPO
21786444,Sundry debit: TRAVELODGE 29Jul19,-21.36,DEB
21786445,Sundry debit:  ON 2019-8-29 TRANSPORT FOR LONDON,-32.81,DEB
21786446,halfords,-44.28,MPO
21786447,Sundry debit: enterprise rent a Cash at Transact 20Aug19,-27.63,CSH
21786448,Cash at Transact travelodge ON 2019-7-4,-7.52,CSH
21786449,Fin: ON 4 Jul Apple Pay TRAVELODGE,-29.28,MPO
21786450,OYSTER,-8.5,CSH
21786451,AMZNMKTPLACE CARD PAYMENT ON 2019-7-11,-44.22,DEB
21786452,halfords 28Aug19,-33.66,DEB
21786453,HEATHROW EXPRESS ON 14 Aug,-44.34,CSH
21786454,Sundry debit: transport for london CONTACTLESS,-52.54,DEB
21786455,macdonald hotels  CONTACTLESS,-30.9,DEB
21786456,VIA MOBILE TFL TRAVEL,-22.82,MPO
21786457,Fin: CARD PAYMENT citymapper 1Jul19,-39.29,DEB
21786458,oyster CONTACTLESS,-13.35,DEB
21786459,CTYLINK VIA MOBILE,-38.68,MPO
21786460,ON 8 Aug  TFL.GOV,-41.04,MPO
21786461,ON 16 Jul NATIONAL EXPRESS,-36.75,DEB
21786462,CARD PAYMENT tfl travel,-45.02,DEB
21786463,CARD PAYMENT  ringgo mobile parking,-54.84,DEB
21786464,SUNDRY DEBIT  ON 23 Aug west coast,-36.95,CSH
21786465,24Jul19 cross country,-66.64,DEB
21786466,Sundry debit: UBER  ON 2019-7-31,-34.39,CSH
21786467,ON 24 Jul CARD PAYMENT SMART PARKING CHELSEA LONDON,-21.86,DEB
21786468,great western railway CONTACTLESS 4Jul19,-43.45,DEB
21786469,halfords CONTACTLESS,-16.12,DEB
21786470,GWR  ON 11 Aug,-40.3,DEB
21786471,Sundry debit:  RYANAIR ON 17 Aug,-78.96,DEB
21786472,TFL TRAVEL,-20.36,MPO
21786473,heathrow express CONTACTLESS ON 2019-8-4,-56.09,DEB
21786474,SUNDRY DEBIT ON 2019-8-24  FUEL SERVICE STATION,-23.01,CSH
21786475,lul ticket,-59.16,DEB
21786476,SUNDRY DEBIT  fuel service station,-28.65,DEB
21786477,tfl travel,-37.91,CSH
21786478,Sundry debit: tfl travel  CARD PAYMENT,-10.04,DEB
21786479,CONTACTLESS UBER,-39.44,DEB
21786480,VIA MOBILE ONLINE STGCOACH,-28.99,MPO
21786481,uber  CARD PAYMENT,-50.35,DEB
21786482,CONTACTLESS ON 7 Aug virgin trains,-16.99,DEB
21786483,ON 2 Aug  TFW RAIL SERVICES,-35.66,DEB
21786484,HALFORDS,-19.99,DEB
21786485,SUNDRY DEBIT   uber,-35.65,MPO
21786486,Sundry debit:   southern railw,-55.73,CSH
21786487,SUNDRY DEBIT tfl cycle  ON 7 Jul,-2.98,DEB
21786488,premier inn  30Aug19,-5.96,DEB
21786489,SUNDRY DEBIT ON 8 Jul  citylink,-17.27,CSH
21786490,CARD PAYMENT  macdonald hotels,-27.93,DEB
21786491,CITYLINK,-67.77,DEB
21786492,SUNDRY DEBIT TRAVELODGE ON 2019-7-5 CARD PAYMENT,-28.71,DEB
21786493,28Jul19 tfl travel,-16.93,DEB
21786494,ON 2019-7-8 Cash at Transact PREMIER INN,-20.79,CSH
21786495,travelodge VIA MOBILE ONLINE,-28.0,MPO
21786496,Apple Pay TRAINLINE,-47.24,MPO
21786497,Sundry debit: tfl.gov,-45.43,CSH
21786498,LNER ON 2019-8-24,-9.71,DEB
21786499,ryanair,-7.35,MPO
21786500,CONTACTLESS TRAVELODGE,-59.4,DEB
21786501,2Aug19  TRAVELODGE,-57.51,DEB
21786502,HEATHROW EXPRESS,-11.63,CSH
21786503,ON 6 Jul enterprise rent a,-35.43,DEB
21786504,9Aug19 lul ticket Cash at Transact,-61.21,CSH
21786505,CARD PAYMENT  SOUTHEASTERN,-31.45,DEB
21786506,Sundry debit: CONTACTLESS ON 6 Aug TESCO GARAGE PETROL,-39.75,DEB
21786507,18Aug19  LNER,-55.13,DEB
21786508,tfl.gov,-48.99,CSH
21786509,3Aug19 ncp,-13.82,DEB
21786510,tfl.gov,-51.1,DEB
21786511,Fin: VIA MOBILE TAXI,-44.65,MPO
21786512,tfl travel,-4.05,CSH
21786513,EUROPCAR,-48.35,DEB
21786514,ON 2019-8-30  EUROSTAR,-25.47,DEB
21786515,SUNDRY DEBIT CONTACTLESS c2c,-32.65,DEB
21786516,RINGO  ON 6 Aug,-38.84,DEB
21786517,CARD PAYMENT heathrow express,-36.69,DEB
21786518,Sundry debit:   transport for london,-89.56,DEB
21786519,virgin trains,-31.85,CSH
21786520,Sundry debit:   uber,-25.87,DEB
21786521,ENTERPRISE RENT A CARD PAYMENT,-9.17,DEB
21786522,WEST COAST,-46.72,DEB
21786523,TESCO GARAGE PETROL CONTACTLESS,-59.99,DEB
21786524,SUNDRY DEBIT UBER,-60.15,DEB
21786525,TFL CYCLE 13Jul19 CONTACTLESS,-40.68,DEB
21786526,Sundry debit:   WEST COAST,-42.35,MPO
21786527,SUNDRY DEBIT CARD PAYMENT transport for london,-25.92,DEB
21786528,ON 2019-8-26 Apple Pay tfl cycle,-15.35,MPO
21786529,Fin:  ctylink,-24.91,DEB
21786530,SOUTHERN RAILW ON 6 Jul,-31.77,DEB
21786531,SUNDRY DEBIT   tfl.gov,-36.5,DEB
21786532,SUNDRY DEBIT  premier inn ON 2019-7-25,-33.31,DEB
21786533,enterprise rent a,-23.05,DEB
21786534,TRANSPORT FOR LONDON,-27.12,DEB
21786535,CARD PAYMENT JURYS INN,-34.88,DEB
21786536,uber  ON 13 Jul,-36.8,DEB
21786537,ctylink ON 2019-8-13,-48.29,DEB
21786538,TESCO GARAGE PETROL 24Jul19,-13.98,DEB
21786539,Cash at Transact ON 30 Aug CITYLINK,-48.56,CSH
21786540,LOTHIAN BUSES,-16.11,DEB
21786541,ON 2019-8-16 CARD PAYMENT cross country,-35.32,DEB
21786542,SUNDRY DEBIT VIA MOBILE ONLINE 25Jul19 virgin trains,-48.89,MPO
21786543,ENTERPRISE RENT A ON 2019-8-14,-49.06,DEB
21786544,SUNDRY DEBIT LNER,-8.86,MPO
21786545,lner,-23.2,DEB
21786546,Fin:  ringgo,-75.92,CSH
21786547,Fin: CARD PAYMENT 13Aug19 uber,-15.01,DEB
21786548,CARD PAYMENT TRANSPORT FOR LONDON,-33.9,DEB
21786549,JURYS INN,-21.85,MPO
21786550,Fin: VIA MOBILE tfl cycle 3Aug19,-41.28,MPO
21786551,LNER VIA MOBILE,-25.46,MPO
21786552,CITYLINK  CARD PAYMENT,-57.41,DEB
21786553,CONTACTLESS best western ON 13 Aug,-21.83,DEB
21786554,stagecoach ON 2019-7-23 CARD PAYMENT,-48.3,DEB
21786555,transport for london  ON 25 Jul,-30.46,DEB
21786556,Fin: ON 2019-8-12 southeastern VIA MOBILE,-45.22,MPO
21786557,CARD PAYMENT 11Jul19 uber,-29.26,DEB
21786558,Sundry debit:  UBER,-12.05,DEB
21786559,Sundry debit: ON 9 Jul ryanair Cash at Transact,-7.47,CSH
21786560,Fin:  tfl.gov,-17.62,DEB
21786561,MACDONALD HOTELS  ON 6 Aug,-12.91,DEB
21786562,Sundry debit: Cash at Transact 5Aug19 LNE RAILWAY,-28.51,CSH
21786563,trainline,-34.15,MPO
21786564,british airways  CARD PAYMENT,-37.95,DEB
21786565,Fin: ON 2019-8-30  LNER,-42.06,CSH
21786566,ON 25 Jul TRAINLINE,-58.73,MPO
21786567,TRAVELODGE CARD PAYMENT,-41.62,DEB
21786568,ON 2019-8-3 CARD PAYMENT ctylink,-48.45,DEB
21786569,STAGECOACH ON 8 Jul,-30.42,CSH
21786570,heathrow express CARD PAYMENT,-16.05,DEB
21786571,SUNDRY DEBIT  travelodge,-42.27,MPO
21786572,2Jul19 WHETHERSPOONS CARD PAYMENT,-13.87,DEB
21786573,ON 9 Jul great western railway CONTACTLESS,-5.62,DEB
21786574,ON 2019-7-24 travelodge,-18.39,CSH
21786575,swtrains,-25.38,MPO
21786576,CONTACTLESS ON 2019-8-17 tfl travel,-34.43,DEB
21786577,southern railw,-35.59,DEB
21786578,Fin: CARD PAYMENT  oyster,-42.58,DEB
21786579,ON 3 Aug UBER Cash at Transact,-1.23,CSH
21786580,ON 2019-7-31 Apple Pay tfl travel,-54.36,MPO
21786581,Sundry debit:  uber ON 8 Jul,-46.62,CSH
21786582,GWR,-15.91,CSH
21786583,SUNDRY DEBIT  TFL ROAD,-55.62,DEB
21786584,Fin: CONTACTLESS ON 2019-8-30 TFL.GOV,-51.52,DEB
21786585,SUNDRY DEBIT LNE RAILWAY ON 5 Aug,-45.12,DEB
21786586,TRAVELODGE ON 2019-8-26,-44.52,DEB
21786587,CONTACTLESS VIRGIN TRAINS,-33.91,DEB
21786588,AMZNMKTPLACE ON 2019-8-16 VIA MOBILE,-37.81,MPO
21786589,SUNDRY DEBIT ENTERPRISE RENT A 10Aug19 Apple Pay,-36.33,MPO
21786590,SUNDRY DEBIT  MIPERMIT LTD CONTACTLESS,-64.02,DEB
21786591,Sundry debit: CONTACTLESS SABA UK,-1.1,DEB
21786592,ON 2019-7-3 NATIONAL EXPRESS,-20.53,DEB
21786593,ON 2019-8-17  TRAVELODGE,-47.74,DEB
21786594,SOUTHERN RAILW,-22.1,CSH
21786595,LNE RAILWAY  ON 2019-7-30,-21.21,MPO
21786596,ENTERPRISE RENT A ON 2019-7-10 CARD PAYMENT,-40.89,DEB
21786597,Fin:   EUROPCAR,-10.43,CSH
21786598,TRAVELODGE 31Jul19,-22.1,DEB
21786599,23Jul19  travelodge,-17.73,CSH
21786600,TFL.GOV  ON 28 Aug,-22.96,DEB
21786601,ON 2019-8-14 GREAT WESTERN RAILWAY,-33.17,CSH
21786602,ON 2019-7-3 LNE RAILWAY Cash at Transact,-44.17,CSH
21786603,INDIGO ON 13 Aug,-29.69,DEB
21786604,TFW RAIL SERVICES,-34.06,DEB
21786605,Sundry debit: TFL.GOV  ON 29 Jul,-19.41,CSH
21786606,Sundry debit:  ON 30 Jul lner,-11.4,CSH
21786607,amznmktplace CONTACTLESS ON 15 Jul,-0.92,DEB
21786608,SUNDRY DEBIT  GREAT WESTERN RAILWAY,-33.0,CSH
21786609,Sundry debit: FUEL SERVICE STATION,-9.2,CSH
21786610,Sundry debit: TRAVELODGE CARD PAYMENT ON 2019-7-4,-11.04,DEB
21786611,Sundry debit: CARD PAYMENT 7Aug19 tfl travel,-70.59,DEB
21786612,RINGGO MOBILE PARKING VIA MOBILE ONLINE,-24.69,MPO
21786613,CARD PAYMENT  TAXI,-58.11,DEB
21786614,lner,-36.44,MPO
21786615,MIPERMIT LTD,-32.34,CSH
21786616,CARD PAYMENT amznmktplace,-8.18,DEB
21786617,Fin:   LNER,-30.52,CSH
21786618,Fin: EASYJET,-55.43,DEB
21786619,Sundry debit: transport for london  CARD PAYMENT,-34.89,DEB
21786620,Sundry debit:   easyjet,-68.73,CSH
21786621,CONTACTLESS lothian buses,-61.01,DEB
21786622,Sundry debit:  ryanair CARD PAYMENT,-60.32,DEB
21786623,SUNDRY DEBIT Cash at Transact scotrail 5Aug19,-38.27,CSH
21786624,indigo ON 2019-8-10 CONTACTLESS,-52.6,DEB
21786625,Fin: heathrow express CONTACTLESS ON 2019-7-13,-14.01,DEB
21786626,Fin: ENTERPRISE RENT A,-12.45,CSH
21786627,SUNDRY DEBIT   uber,-27.15,CSH
21786628,CARD PAYMENT uber ON 2019-7-21,-44.71,DEB
21786629,Sundry debit:  ZIPCAR CONTACTLESS,-31.54,DEB
21786630,TRAINLINE 2Jul19,-36.45,CSH
21786631,Fin:  taxi,-12.52,DEB
21786632,SUNDRY DEBIT TFL.GOV,-32.57,DEB
21786633,Fin:  LNE RAILWAY,-20.91,DEB
21786634,CONTACTLESS europcar,-24.17,DEB
21786635,SUNDRY DEBIT CONTACTLESS  ringgo mobile parking,-26.71,DEB
21786636,TRAVELODGE  ON 2019-8-28,-42.01,MPO
21786637,JURYS INN 22Aug19 CONTACTLESS,-60.57,DEB
21786638,RINGO CONTACTLESS,-28.69,DEB
21786639,LOTHIAN BUSES CONTACTLESS,-11.57,DEB
21786640,Cash at Transact  cross country,-23.76,CSH
21786641,NATIONAL EXPRESS CARD PAYMENT,-14.87,DEB
21786642,SUNDRY DEBIT amznmktplace CARD PAYMENT 20Jul19,-64.3,DEB
21786643,22Aug19 CARD PAYMENT transport for london,-3.04,DEB
21786644,LOTHIAN BUSES ON 2019-7-17 CARD PAYMENT,-45.51,DEB
21786645,Sundry debit:  uber CONTACTLESS,-4.46,DEB
21786646,15Aug19  OYSTER,-20.69,CSH
21786647,ON 2019-7-21 RYANAIR CONTACTLESS,-35.49,DEB
21786648,SUNDRY DEBIT   RINGGO,-45.43,DEB
21786649,Sundry debit:  13Jul19 TRAVELODGE,-37.85,DEB
